Date/Time,Electricity:Facility [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Total:Electricity(kW)
 01/06  23:00:00,1.618481592,0.270164233,0.270164233,0.270164233,0.451169115,0.098298255,0.205880856,0.575857133,3.76017965
 01/06  24:00:00,1.310046462,0.279358334,0.279358334,0.279358334,0.309757866,0.067488347,0.135920782,0.500409133,3.161697592
 01/07  01:00:00,1.010214373,0.289420767,0.289420767,0.289420767,0.161612796,0.035211311,0.092942925,0.413914574,2.58215828
 01/07  02:00:00,0.886356366,0.297138188,0.297138188,0.297138188,0.094274166,0.020539939,0.07618578,0.381106294,2.349877109
 01/07  03:00:00,0.843016327,0.304880111,0.304880111,0.304880111,0.067338672,0.014671381,0.062326493,0.37668767,2.278680876
 01/07  04:00:00,0.83796708,0.313483275,0.313483275,0.313483275,0.067338672,0.014671381,0.053976431,0.371385321,2.28578871
 01/07  05:00:00,0.838692872,0.316391764,0.316391764,0.316391764,0.067338672,0.014671381,0.065822864,0.357356191,2.293057272
 01/07  06:00:00,0.89367603,0.315695008,0.315695008,0.315695008,0.067338672,0.014671381,0.080078181,0.398780788,2.401630076
 01/07  07:00:00,1.113605788,0.306735102,0.306735102,0.306735102,0.154878975,0.033744183,0.140383543,0.460751986,2.823569781
 01/07  08:00:00,1.459207906,0.323497846,0.323497846,0.323497846,0.316491771,0.068955493,0.228567291,0.489583505,3.533299504
 01/07  09:00:00,1.409454433,0.308254644,0.308254644,0.308254644,0.303024045,0.066021219,0.30112795,0.413914574,3.418306153
 01/07  10:00:00,1.245996828,0.312922342,0.312922342,0.312922342,0.154878975,0.033744183,0.375064554,0.352274774,3.10072634
 01/07  11:00:00,1.304091773,0.374808175,0.374808175,0.374808175,0.127943439,0.027875616,0.395792849,0.360559693,3.340687895
 01/07  12:00:00,1.27425557,0.327045871,0.327045871,0.327045871,0.127943439,0.027875616,0.413608485,0.360670159,3.185490882
 01/07  13:00:00,1.241640895,0.314458809,0.314458809,0.314458809,0.127943439,0.027875616,0.39965648,0.354594551,3.095087408
 01/07  14:00:00,1.215852567,0.314629464,0.314629464,0.314629464,0.127943439,0.027875616,0.361435816,0.366856232,3.043852062
 01/07  15:00:00,1.211341615,0.310928468,0.310928468,0.310928468,0.134677344,0.029342762,0.331767743,0.387513298,3.027428166
 01/07  16:00:00,1.28564191,0.314528075,0.314528075,0.314528075,0.168346701,0.036678457,0.339922589,0.409054088,3.18322797
 01/07  17:00:00,1.551505525,0.316473356,0.316473356,0.316473356,0.282822414,0.061619798,0.389638663,0.483839294,3.718845762
 01/07  18:00:00,2.084069305,0.359069597,0.359069597,0.359069597,0.52524165,0.114436773,0.480421868,0.587787417,4.869165804
 01/07  19:00:00,2.424308452,0.35512607,0.35512607,0.35512607,0.781128612,0.170188022,0.43259402,0.638159727,5.511757043
 01/07  20:00:00,2.337372158,0.303239494,0.303239494,0.303239494,0.828265695,0.180457992,0.349590651,0.658706327,5.264111305
 01/07  21:00:00,2.171827602,0.293326916,0.293326916,0.293326916,0.713789982,0.155516632,0.310730298,0.681351773,4.913197035
 01/07  22:00:00,1.999347905,0.29295256,0.29295256,0.29295256,0.599314185,0.130575291,0.29394914,0.665444728,4.567488929
 01/07  23:00:00,1.677504744,0.300894173,0.300894173,0.300894173,0.451169115,0.098298255,0.234174068,0.575857133,3.939685834
 01/07  24:00:00,1.369661318,0.323438344,0.323438344,0.323438344,0.309757866,0.067488347,0.151455627,0.500409133,3.369087323
 01/08  01:00:00,1.051911317,0.331117711,0.331117711,0.331117711,0.161612796,0.035211311,0.092942925,0.413914574,2.748946056
 01/08  02:00:00,0.925721122,0.336502944,0.336502944,0.336502944,0.094274166,0.020539939,0.07618578,0.381106294,2.507336133
 01/08  03:00:00,0.881572858,0.343436642,0.343436642,0.343436642,0.067338672,0.014671381,0.062326493,0.37668767,2.432907
